estimate,label,locality
"1999803,0",Estimate!!Total!!Total population!!AGE!!Under 5 years,Texas
"2024009,0",Estimate!!Total!!Total population!!AGE!!5 to 9 years,Texas
"2090590,0",Estimate!!Total!!Total population!!AGE!!10 to 14 years,Texas
"2017644,0",Estimate!!Total!!Total population!!AGE!!15 to 19 years,Texas
"1997256,0",Estimate!!Total!!Total population!!AGE!!20 to 24 years,Texas
"7,1",Estimate!!Percent!!Total population!!AGE!!Under 5 years,Texas
"7,2",Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Texas
"7,4",Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Texas
"7,1",Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Texas
"7,1",Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Texas
"352470,0",Estimate!!Total!!Total population!!AGE!!Under 5 years,Harris County
"344290,0",Estimate!!Total!!Total population!!AGE!!5 to 9 years,Harris County
"348779,0",Estimate!!Total!!Total population!!AGE!!10 to 14 years,Harris County
"318598,0",Estimate!!Total!!Total population!!AGE!!15 to 19 years,Harris County
"318536,0",Estimate!!Total!!Total population!!AGE!!20 to 24 years,Harris County
"7,6",Estimate!!Percent!!Total population!!AGE!!Under 5 years,Harris County
"7,4",Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Harris County
"7,5",Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Harris County
"6,9",Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Harris County
"6,9",Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Harris County
"176302,0",Estimate!!Total!!Total population!!AGE!!Under 5 years,Houston
"161603,0",Estimate!!Total!!Total population!!AGE!!5 to 9 years,Houston
"152008,0",Estimate!!Total!!Total population!!AGE!!10 to 14 years,Houston
"144947,0",Estimate!!Total!!Total population!!AGE!!15 to 19 years,Houston
"172357,0",Estimate!!Total!!Total population!!AGE!!20 to 24 years,Houston
"7,6",Estimate!!Percent!!Total population!!AGE!!Under 5 years,Houston
"7,0",Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Houston
"6,6",Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Houston
"6,3",Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Houston
"7,5",Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Houston
"189306,0",Estimate!!Uninsured!!Civilian noninstitutionalized population!!AGE!!Under 6 years,Texas
"647793,0",Estimate!!Uninsured!!Civilian noninstitutionalized population!!AGE!!6 to 18 years,Texas
"7,9",Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!AGE!!Under 6 years,Texas
"12,1",Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!AGE!!6 to 18 years,Texas
"35654,0",Estimate!!Uninsured!!Civilian noninstitutionalized population!!AGE!!Under 6 years,Harris County
"122613,0",Estimate!!Uninsured!!Civilian noninstitutionalized population!!AGE!!6 to 18 years,Harris County
"8,5",Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!AGE!!Under 6 years,Harris County
"13,8",Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!AGE!!6 to 18 years,Harris County
"18025,0",Estimate!!Uninsured!!Civilian noninstitutionalized population!!AGE!!Under 6 years,Houston
"61717,0",Estimate!!Uninsured!!Civilian noninstitutionalized population!!AGE!!6 to 18 years,Houston
"8,6",Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!AGE!!Under 6 years,Houston
"15,5",Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!AGE!!6 to 18 years,Houston
"2175112,0",Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years,Texas
"22,4",Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years,Texas
"210875,0",Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years,Texas
"2,2",Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years,Texas
"133474,0","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years",Texas
